LiLaRef	LemLatLST	lemmaLST	genLST
lemma/100353	97691(D55D2),97714(D55EB),13028(d7193)	dorsum,dorsus,dossus	1,m
lemma/100354	97693(D55CH),97713(D55EA),13028(d7193)	dorsum,dossum	1,n
lemma/103330	102678(D65E5),16092(f0559)	firmamentum,firmamentus	1,m
lemma/104266	84538(D2D8C),16976(g0020)	calbeus,galbeus	1,m
lemma/104780	106928(D7224),17482(g0475)	grabatum,grabatus	1,n
lemma/105061	70736(D01A4),70738(D01A7),17744(h0020)	abrotanum,abrothanum,habrotonum	3,n
lemma/105377	108115(D7626),108701(D7825),18064(h0297)	haeres,heres	2,m
lemma/109199	112724(D84H9),22062(i3024)	iugulum,iugulus	1,m
lemma/109889	113753(D8862),22470(l0252)	lapathum,lapatium	3,n
lemma/111593	117369(D9270),24129(m0370)	marathrum,marathus	1,m
lemma/114854	122846(DA303),27298(o0625)	oleaster,oleastrum	1,n
lemma/115855	124268(DA7G7),28232(p0243)	pannum,pannus	1,n
lemma/116216	125232(DAAHG),28600(p0562)	patibulum,patibulus	1,m
lemma/116565	126014(DADB3),28977(p0861)	peplum,peplus	1,n
lemma/117510	126481(DAF72),29936(p1775)	pessum,pessus	1,m
lemma/117833	127021(DAH2A),127058(DAH47),30266(p2067)	pileus,pilleus	1,m
lemma/118223	128001(DB25H),30665(p2401)	pluteum,pluteus	1,n
lemma/118506	128599(DB464),30954(p2644)	porrum,porrus	1,m
lemma/120499	130814(DBC0B),130816(DBC1E),33026(p4510)	puluer,puluis	2,m
lemma/120507	128344(DB383),33033(p4517)	pomilio,pumilio	2,m
lemma/122302	135164(DC9HG),135157(DCA06),35161(r0929)	ruschum,ruscum	3,n
lemma/123167	135483(DCB5C),35348(s0133)	sagum,sagus	1,m
lemma/123228	135622(DCB94),35409(s0187)	salapitta,salpicta	f,m
lemma/123602	136657(DCEGA),35786(s0539)	scamellum,scamillum	1,n
lemma/123859	137449(DCHA8),36048(s0777)	scriptulus,scripulum	1,m
lemma/123864	137472(DCHBF),36051(s0780)	scrobis,scrobs	2,f
lemma/123899	137081(DCG65),36086(s0813)	schurra,scurra	f,m
lemma/123920	137613(DD03H),36109(s0833)	scutum,scutus	1,m
lemma/124087	140416(DD98H),37581(s0988)	spicum,spicus	1,m
lemma/124311	138197(DD203),138210(DD20H),36510(s1204)	senecio,senetio	f,m
lemma/124686	138942(DD496),36885(s1552)	sibilum,sibilus	1,n
lemma/124873	138171(DD1GA),37076(s1727)	senape,sinapi	3,n
lemma/124912	139267(DD5FF),37117(s1761)	sinum,sinus	1,m
lemma/125568	140806(DDAEC),37786(s2364)	stagnum,stagnus	1,m
lemma/127008	142834(DDHCB),39290(s3745)	supparum,supparus	1,n
lemma/127195	143116(DE0D2),39482(s3923)	symbolum,symbolus	1,m
lemma/127196	139199(DD569),143113(DE0CH),39482(s3923)	simbolum,symbolum	1,n
lemma/128153	154758(DF0H3),40255(t0593)	thesaurum,thesaurus	1,n
lemma/128193	154853(DF14A),40294(t0631)	thronum,thronus	1,n
lemma/128472	154838(DF13D),40597(t0881)	thorus,torus	1,m
lemma/128473	155564(DF39G),40597(t0881)	torum,torus	1,n
lemma/128722	155994(DF4H4),40858(t1122)	trapetum,trapetus	1,n
lemma/129591	143651(DE2D6),41636(u0126)	uasum,uasus	1,m
lemma/130274	144913(DE740),42364(u0729)	uinum,uinus	1,m
lemma/130403	145298(DE80H),42491(u0843)	uitellum,uitellus	1,n
lemma/131096	145782(DE9D1),42927(u9882)	uotum,uotus	1,m
lemma/87205	71386(D03H3),419(a0356)	acetabulum,acitabulum	1,n
lemma/88200	73137(D0AFB),1467(a1257)	alabaster,alabastrum	1,n
lemma/88650	74524(D0FBD),1945(a1657)	amellum,amellus	1,n
lemma/90116	77589(D184E),3435(a2958)	articlus,articulus	1,m
lemma/90118	77592(D1857),3435(a2958)	articulum,articulus	1,n
lemma/90294	72054(D06F0),72062(D06FB),3603(a3118)	adsaecula,adsecula,assecula	f,m
lemma/90615	78606(D1BG5),79091(D1DBB),3959(a3417)	auctor,autor	2,m
lemma/91216	79365(D1EA0),4282(b0028)	bacellus,bacillum	1,m
lemma/91225	79414(D1ED1),4288(b0034)	baclus,baculum	1,m
lemma/91226	79431(D1EE7),4288(b0034)	baculum,baculus	1,m
lemma/91295	79828(D1G1F),79834(D1G22),4360(b0096)	balteus,baltheus	1,m
lemma/92231	90268(D3E76),5263(c0105)	caelum,coelum	1,n
lemma/92346	87553(D3571),5397(c0212)	calculus,cauculus	1,m
lemma/92348	84651(D2DFA),5397(c0212)	calculum,calculus	1,n
lemma/92411	84780(D2E6H),5469(c0270)	callum,callus	1,m
lemma/92475	85063(D2F3F),88500(D3893),5530(c0325)	caminus,chaminus	1,m
lemma/92577	85441(D2G7E),5639(c0411)	canistellum,canistellus	1,m
lemma/92627	85559(D2GF8),85600(D2GH0),5687(c0451)	cantarum,cantharum,cantharus	1,n
lemma/92794	86136(D30D1),5851(c0590)	capulum,capulus	1,n
lemma/92934	86593(D32DA),6004(c0713)	carrum,carrus	1,n
lemma/92997	87116(D3409),6069(c0767)	castellum,castellus	1,m
lemma/93022	87180(D3444),6102(c0787)	castrum,castrus	1,m
lemma/93212	87638(D35C3),6292(c0959)	cauillum,cauillus	1,m
lemma/93293	87478(D35HG),6358(c1028)	cauum,cauus	1,m
lemma/93656	84551(D2DFE),88462(D3872),6719(c1341)	calcus,chalcus	1,m
lemma/94010	89276(D3B0B),7055(c1650)	cingillum,cingillus	1,m
lemma/94017	89263(D3AHE),89264(D3B1A),7061(c1654)	ciner,cinis	2,f,m
lemma/94525	89930(D3D4G),90056(D3DCB),7575(c2123)	clipeus,clypeus	1,m
lemma/94526	90034(D3DB1),7575(c2123)	clipeus,clupeum	1,n
lemma/94660	90123(D3DH6),7718(c2247)	coccum,coccus	1,m
lemma/94887	90467(D3G3C),7987(c2456)	collum,colus	1,m
lemma/94888	90566(D3FEF),7987(c2456)	collum,collus	1,m
lemma/95111	91074(D3H07),8206(c2650)	commentariolum,commentariolus	1,m
lemma/95329	91310(D3HF7),8436(c2846)	competum,compitum	1,n
lemma/97090	94293(D4A18),10312(c4479)	crustallum,crystallum	3,n
lemma/97097	94334(D4A46),10321(c4485)	cubiculum,cubiculus	1,m
lemma/97172	89066(D3A68),10395(c4553)	chulleus,culleus	1,m
lemma/97181	94491(D4ADC),10402(c4560)	culmum,culmus	1,n
lemma/97192	94518(D4AFC),10413(c4570)	cultellum,cultellus	1,n
lemma/97265	94643(D4B45),94645(D4B4A),10484(c4636)	cuniclus,cuniculus	1,m
lemma/97345	94856(D4BH4),10553(c4710)	curriculum,curriculus	1,m
